Serial No,Time(ms),Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,Temp(C),Diff_Accel_X,Diff_Accel_Y,Diff_Accel_Z,Diff_Gyro_X,Diff_Gyro_Y,Diff_Gyro_Z,Diff_Mag_Gyro,Diff_Mag_Accel,Magnitude_Accel,Magnitude_Gyro,Column 1,Column 2,ON/ OFF signal from Acclerometer,ON/OFF signal from Gyro,First Input,Final Output
333,70415,-3.19,0.39,10.89,-0.35,-0.23,-2.72,33.35,0.0104,0.00845,0.0008,0.00035,0.00165,0.0057,1.170904289,0.172867574,1.554307553,2.752053779,1,1,1,1,1,
334,70619,-1.42,1.04,10.81,-0.3,0.22,-1.17,33.36,0.00885,0.00325,0.0004,0.00025,0.00225,0.00775,1.524332312,0.401951642,1.152355911,1.227721467,1,1,1,1,1,
335,70823,0.51,-0.3,10.98,-0.05,0.35,2.42,33.34,0.00965,0.0067,0.00085,0.00125,0.00065,0.01795,1.21796862,0.043575155,1.195931066,2.445690087,1,1,1,1,1,
336,71027,-1.59,-0.29,10.89,-0.06,0.22,3.78,33.34,0.0105,0.00005,0.00045,0.00005,0.00065,0.0068,1.341181973,0.013351381,1.209282447,3.78687206,1,1,1,1,1,
337,71231,4.72,-2.57,10.47,0.15,0.14,2.5,33.35,0.03155,0.0114,0.0021,0.00105,0.0004,0.0064,1.278466192,0.759498288,1.968780735,2.508405868,1,1,1,1,1,
338,71435,3.85,-2.55,10.53,-0.27,-0.19,-2.35,33.35,0.00435,0.0001,0.0003,0.0021,0.00165,0.02425,0.135327698,0.270698287,1.698082449,2.37307817,1,1,1,1,1,
339,71639,-0.92,-2.81,11.23,-0.43,-0.62,-3.93,33.35,0.02385,0.0013,0.0035,0.0008,0.00215,0.0079,1.628696437,0.114643329,1.812725778,4.001774606,1,1,1,1,1,
340,71843,-1.18,-0.04,11.26,-0.4,-0.15,-2.82,33.34,0.0013,0.01385,0.00015,0.00015,0.00235,0.00555,1.149599997,0.290994462,1.521731316,2.852174609,1,1,1,1,1,
341,72047,-2.14,0.78,10.81,-0.29,0.28,-2.02,33.35,0.0048,0.0041,0.00225,0.00055,0.00215,0.004,0.792344519,0.274374166,1.24735715,2.05983009,1,1,1,1,1,
342,72251,1.06,-0.85,10.83,-0.06,0.45,2.62,33.36,0.016,0.00815,1E-04,0.00115,0.00085,0.0232,0.59921109,0.132459074,1.114898076,2.659041181,1,1,1,1,1,
343,74699,-0.02,-1.3,10.14,-0.36,-0.16,-3.26,33.33,0.0054,0.00225,0.00345,0.0015,0.00305,0.0294,0.624676225,0.691884821,0.423013254,3.283717406,1,1,1,1,1,
344,74903,-1.46,-0.27,10.88,-0.34,0.12,-1.95,33.33,0.0072,0.00515,0.0037,1E-04,0.0014,0.00655,1.300664204,0.757829154,1.180842408,1.983053202,1,1,1,1,1,
345,75107,-0.6,-0.19,10.84,-0.14,0.26,2.41,33.33,0.0043,0.0004,0.0002,0.001,0.0007,0.0218,0.444970686,0.122587484,1.058254924,2.428023888,1,1,1,1,1,
346,75311,1.62,-1.29,10.79,-0.01,0.3,3.61,33.33,0.0111,0.0055,0.00025,0.00065,0.0002,0.006,1.194433841,0.128673673,1.186928597,3.622457729,1,1,1,1,1,
347,75515,4.93,-3.48,10.5,0.26,0.13,4.1,33.34,0.01655,0.01095,0.00145,0.00135,0.00085,0.00245,0.487834231,1.123616395,2.310544992,4.11029196,1,1,1,1,1,
348,75719,3.63,-3.89,10.39,-0.36,-0.34,-2.98,33.34,0.0065,0.00205,0.00055,0.0031,0.00235,0.0354,1.089431156,0.437452,1.873092992,3.020860804,1,1,1,1,1,
349,75923,-3.54,-3.37,11.27,-0.55,-0.62,-5.24,33.34,0.03585,0.0026,0.0044,0.00095,0.0014,0.0113,2.284278213,0.611100103,2.484193095,5.305139018,1,1,1,1,1,
350,76127,-2.51,1.17,10.75,-0.22,-0.08,-1.07,33.34,0.00515,0.0227,0.0026,0.00165,0.0027,0.02085,4.209830842,1.183224669,1.300968426,1.095308176,1,1,1,1,1,
351,76331,-0.18,1.06,10.72,-0.03,0.11,1.25,33.34,0.01165,0.00055,0.00015,0.00095,0.00095,0.0116,0.159881053,0.327185432,0.973782994,1.255189229,1,1,1,1,1,
352,76535,-0.27,0.32,10.95,-0.15,0.39,1.51,33.34,0.00045,0.0037,0.00115,0.0006,0.0014,0.0013,0.311558996,0.184218649,1.158001643,1.566748225,1,1,1,1,1,
353,76739,0.4,-0.16,10.98,-0.07,0.33,2.91,33.35,0.00335,0.0024,0.00015,0.0004,0.0003,0.007,1.362739785,0.030446837,1.18844848,2.92948801,1,1,1,1,1,
354,76943,1.71,-1.14,10.52,0.07,0.1,3.7,33.35,0.00655,0.0049,0.0023,0.0007,0.00115,0.00395,0.772524956,0.269581936,0.918866545,3.702012966,1,1,1,1,1,
355,77147,3.79,-2.49,10.45,0.07,-0.09,1.06,33.33,0.0104,0.00675,0.00035,0,0.00095,0.0132,2.635898526,0.67265223,1.591518775,1.06611444,1,1,1,1,1,
356,77351,1.11,-1.97,11.06,-0.4,-0.5,-3.49,33.36,0.0134,0.0026,0.00305,0.00235,0.00205,0.02275,2.482138651,0.102736733,1.488782042,3.548253091,1,1,1,1,1,
357,77555,-1.75,-0.88,11.12,-0.47,-0.49,-3.89,33.34,0.0143,0.00545,0.0003,0.00035,0.00005,0.002,0.400556856,0.002422499,1.491204542,3.948809947,1,1,1,1,1,
358,77759,-1.62,0.87,10.65,-0.23,-0.03,-1.77,33.34,0.00065,0.00875,0.00235,0.0012,0.0023,0.0106,2.163676899,0.483623869,1.007580673,1.785133048,1,1,1,1,1,
359,77963,-3.36,0.49,10.56,-0.17,0.35,1.88,33.35,0.0087,0.0019,0.00045,0.0003,0.0019,0.01825,0.134710695,0.284907777,1.292488449,1.919843744,1,1,1,1,1,
360,78167,-0.94,-2.06,11.04,-0.09,0.41,4.08,33.35,0.0121,0.01275,0.0024,0.0004,0.0003,0.011,2.181692554,0.17732965,1.4698181,4.101536298,1,1,1,1,1,
361,78371,4.84,-3.96,10.65,-0.05,0.05,3.91,33.35,0.0289,0.0095,0.00195,0.0002,0.0018,0.00085,0.190896964,1.080473395,2.550291495,3.910639334,1,1,1,1,1,
362,78575,4.61,-3.06,10.56,-0.17,-0.19,-1.6,33.35,0.00115,0.0045,0.00045,0.0006,0.0012,0.02755,2.290454159,0.428492134,2.121799361,1.620185175,1,1,1,1,1,
363,78779,-1.24,-3.74,11.57,-0.47,-0.44,-5.09,33.35,0.02925,0.0034,0.00505,0.0015,0.00125,0.01745,3.510370351,0.300724928,2.422524289,5.130555525,1,1,1,1,1,
364,78983,-5.14,2.07,11.1,-0.29,-0.13,-2.74,33.35,0.0195,0.02905,0.00235,0.0009,0.00155,0.01175,2.372186442,0.183703985,2.606228275,2.758369083,1,1,1,1,1,
365,79187,-4.31,1.62,11.11,-0.06,0.19,0.39,33.35,0.00415,0.00225,5E-05,0.00115,0.0016,0.01565,2.320419315,0.379898826,2.226329448,0.437949769,1,1,1,1,1,
366,79391,-0.3,-0.63,11.11,-0.15,0.37,2.96,33.34,0.02005,0.01125,0,0.00045,0.0009,0.01285,2.548854543,0.894438324,1.331891124,2.986804312,1,1,1,1,1,
367,79595,1.24,-2.94,10.94,-0.06,0.22,4.36,33.34,0.0077,0.01155,0.00085,0.00045,0.00075,0.007,1.379154918,0.263932672,1.595823796,4.36595923,1,1,1,1,1,
368,79799,4.14,-2.32,10.66,0.04,-0.12,0.88,33.34,0.0145,0.0031,0.0014,0.0005,0.0017,0.0174,3.476914799,0.272835081,1.868658878,0.889044431,1,1,1,1,1,
369,80003,2.67,-3.04,11.08,-0.35,-0.39,-3.5,33.34,0.00735,0.0036,0.0021,0.00195,0.00135,0.0219,2.64996673,0.126971669,1.995630547,3.539011161,1,1,1,1,1,
370,80207,-3.33,-2.26,11.76,-0.46,-0.61,-4.47,33.35,0.03,0.0039,0.0034,0.00055,0.0011,0.00485,0.995809673,0.633935013,2.62956556,4.534820834,1,1,1,1,1,
371,80411,-1.14,0.93,10.65,-0.18,-0.07,-0.59,33.34,0.01095,0.01595,0.00555,0.0014,0.0027,0.0194,3.914014907,1.678426085,0.951139474,0.620805928,1,1,1,1,1,
372,80615,0.58,0.12,10.66,-0.03,0.08,1.79,33.33,0.0086,0.00405,5E-05,0.00075,0.00075,0.0119,1.171232018,0.07469812,0.876441355,1.792037946,1,1,1,1,1,
373,80819,-0.12,-0.05,10.94,-0.12,0.4,2.51,33.34,0.0035,0.00085,0.0014,0.00045,0.0016,0.0036,0.752465935,0.264331013,1.140772368,2.544503881,1,1,1,1,1,
374,81023,1.74,-2.27,10.76,-0.13,0.03,4.23,33.34,0.0093,0.0111,0.0009,0.00005,0.00185,0.0086,1.687599615,0.192874834,1.333647201,4.232103496,1,1,1,1,1,
375,81227,3.07,-1.48,10.63,0.09,-0.07,1.75,33.33,0.00665,0.00395,0.00065,0.0011,0.0005,0.0124,2.478393144,0.029336271,1.362983472,1.753710352,1,1,1,1,1,
376,81431,3.2,-3.03,11,-0.29,-0.37,-3.1,33.34,0.00065,0.00775,0.00185,0.0019,0.0015,0.02425,1.3817322,0.686949017,2.049932489,3.135442552,1,1,1,1,1,
377,81635,-3.83,-0.33,11.74,-0.37,-0.51,-3.75,33.35,0.03515,0.0135,0.0037,0.0004,0.0007,0.00325,0.667122371,0.50342333,2.553355819,3.802564924,1,1,1,1,1,
378,81839,-0.97,0.63,10.6,-0.24,-0.1,-1.14,33.34,0.0143,0.0048,0.0057,0.00065,0.00205,0.01305,2.633291645,1.69043877,0.862917049,1.169273279,1,1,1,1,1,
379,82043,-0.51,0.09,10.92,-0.02,0.41,1.87,33.34,0.0023,0.0027,0.0016,0.0011,0.00255,0.01505,0.745250161,0.269356273,1.132273323,1.914523439,1,1,1,1,1,
380,82247,0.16,-0.32,10.95,-0.12,0.41,2.72,33.34,0.00335,0.00205,0.00015,0.0005,0,0.00425,0.838819983,0.023569867,1.15584319,2.753343422,1,1,1,1,1,
381,82451,5.7,-1.46,10.2,0.04,0.05,2.55,33.35,0.0277,0.0057,0.00375,0.0008,0.0018,0.00085,0.202539627,0.819622831,1.975466021,2.550803795,1,1,1,1,1,
382,82655,3.68,-1.75,10.86,-0.19,-0.16,-2.21,33.35,0.0101,0.00145,0.0033,0.00115,0.00105,0.0238,0.326888329,0.176134143,1.799331877,2.223915466,1,1,1,1,1,
383,82859,-1.95,-1.16,11.32,-0.31,-0.58,-3.82,33.35,0.02815,0.00295,0.0023,0.0006,0.0021,0.00805,1.652281123,0.05418138,1.745150497,3.876196589,1,1,1,1,1,
384,83063,-0.15,1.62,10.62,-0.23,0.1,-1.47,33.35,0.009,0.0139,0.0035,0.0004,0.0034,0.01175,2.384955496,0.801254556,0.943895941,1.491241094,1,1,1,1,1,
385,83267,0.09,0.98,10.8,-0.03,0.13,0.42,33.35,0.0012,0.0032,0.0009,0.001,0.00015,0.00945,1.050559803,0.10084933,1.044745271,0.440681291,1,1,1,1,1,
386,83471,-2.14,0.02,10.55,-0.2,0.13,1.78,33.34,0.01115,0.0048,0.00125,0.00085,0,0.0068,1.355230734,0.07987184,0.964873432,1.795912025,1,1,1,1,1,
387,83675,3.3,-3.72,10.58,-0.09,0.09,3.47,33.35,0.0272,0.0187,0.00015,0.00055,0.0002,0.00845,1.676421485,0.925498675,1.890372107,3.472333509,1,1,1,1,1,
388,83879,2.08,-2.66,10.74,0.16,-0.01,2.07,33.35,0.0061,0.0053,0.0008,0.00125,0.0005,0.007,1.39613506,0.432059622,1.458312485,2.076198449,1,1,1,1,1,
389,84083,2.7,-0.82,10.65,-0.18,-0.09,-2.14,33.35,0.0031,0.0092,0.00045,0.0017,0.0004,0.02105,0.073243339,0.240830921,1.217481563,2.149441788,1,1,1,1,1,
390,84287,0.05,0.2,11.26,-0.56,-0.46,-3.54,33.35,0.01325,0.0051,0.00305,0.0019,0.00185,0.007,1.463977645,0.24440549,1.461887053,3.613419433,1,1,1,1,1,
391,84491,-2.24,0.04,10.12,-0.29,0.12,-1.81,33.36,0.01145,0.0008,0.0057,0.00135,0.0029,0.00865,1.776410996,0.896868964,0.56501809,1.837008438,1,1,1,1,1,
392,84695,-0.33,0.33,11.24,-0.02,0.56,2.12,33.35,0.00955,0.00145,0.0056,0.00135,0.0022,0.01965,0.355797983,0.88466635,1.44968444,2.192806421,1,1,1,1,1,
393,84899,0.61,-0.5,10.72,-0.04,0.19,2.92,33.35,0.0047,0.00415,0.0026,0.0001,0.00185,0.004,0.733641938,0.500707745,0.948976695,2.926448359,1,1,1,1,1,
394,85103,0.58,-1.13,10.72,-0.14,-0.05,3.12,33.36,0.00015,0.00315,0,0.0005,0.0012,0.001,0.197091299,0.046008251,0.994984947,3.123539659,1,1,1,1,1,
395,85307,3.22,-1.97,10.54,-0.05,0.17,0.85,33.36,0.0132,0.0042,0.0009,0.00045,0.0011,0.01135,2.255265509,0.400590072,1.395575019,0.86827415,1,1,1,1,1,
396,85511,2.21,-1.62,11.09,-0.08,-0.01,-2.07,33.36,0.00505,0.00175,0.00275,0.00015,0.0009,0.0146,1.203295303,0.227935825,1.623510844,2.071569453,1,1,1,1,1,
397,85715,-1.27,-0.13,11.12,-0.29,-0.47,-3.17,33.34,0.0174,0.00745,0.00015,0.00105,0.0023,0.0055,1.146178206,0.230468362,1.393042482,3.217747659,1,1,1,1,1,
398,85919,-1.44,1.98,10.7,-0.15,-0.17,-0.72,33.34,0.00085,0.01055,0.0021,0.0007,0.0015,0.01225,2.462896681,0.216522086,1.176520396,0.754850979,1,1,1,1,1,
399,86123,-0.41,1.4,10.79,-0.07,0.27,-0.95,33.36,0.00515,0.0029,0.00045,0.0004,0.0022,0.00115,0.235250026,0.088352506,1.08816789,0.990101005,1,1,1,1,1,
400,86327,-0.26,0.83,10.75,-0.08,0.2,1.21,33.35,0.00075,0.00285,0.0002,0.00005,0.00035,0.0108,0.238922998,0.10303924,0.98512865,1.229024003,1,1,1,1,1,
401,86531,-2.44,-0.43,10.8,-0.28,0.15,2.55,33.35,0.0109,0.0063,0.00025,0.001,0.00025,0.0067,1.340684152,0.295417365,1.280546015,2.569708155,1,1,1,1,1,
402,86735,6.96,-5.57,9.97,0.14,-0.04,3.06,33.34,0.047,0.0257,0.00415,0.0021,0.00095,0.00255,0.493753939,2.293585732,3.574131748,3.063462094,1,1,1,1,1,
403,86939,5.6,-4.28,10.09,-0.3,-0.07,-1.39,33.34,0.0068,0.00645,0.0006,0.0022,0.00015,0.02225,1.639734592,1.066146535,2.507985213,1.423727502,1,1,1,1,1,
404,87143,-0.59,-3.61,10.67,-0.03,-0.21,-3.43,33.35,0.03095,0.00335,0.0029,0.00135,0.0007,0.0102,2.012826004,1.028397454,1.479587758,3.436553506,1,1,1,1,1,
405,87347,-2.83,0.96,10.95,-0.08,-0.13,-1.75,33.34,0.0112,0.02285,0.0014,0.00025,0.0004,0.0084,1.679908977,0.070874787,1.550462546,1.756644529,1,1,1,1,1,
406,87551,0.18,2.24,10.77,-0.12,0.06,-0.36,33.36,0.01505,0.0064,0.0009,0.0002,0.00095,0.00695,1.372457074,0.348512718,1.201949827,0.384187454,1,1,1,1,1,
407,87755,-0.18,0.52,10.79,-0.13,0.17,-0.65,33.35,0.0018,0.0086,1E-04,0.00005,0.00055,0.00145,0.30013703,0.197927428,1.004022399,0.684324484,1,1,1,1,1,
408,87959,0.32,1.12,10.74,-0.11,0.14,0.76,33.37,0.0025,0.003,0.00025,0.0001,0.00015,0.00705,0.096252225,0.001041329,1.00298107,0.78057671,1,1,1,1,1,
409,88163,0.63,0.39,10.66,-0.08,0.06,1.88,33.35,0.00155,0.00365,0.0004,0.00015,0.0004,0.0056,1.102080986,0.117261628,0.885719442,1.882657696,1,1,1,1,1,
410,88367,0.48,-0.46,10.8,-0.1,0.01,2.45,33.35,0.00075,0.00425,0.0007,0.0001,0.00025,0.00285,0.569402662,0.134724172,1.020443614,2.452060358,1,1,1,1,1,
411,88571,1.31,-0.03,10.68,-0.1,0.07,0.26,33.36,0.00415,0.00215,0.0006,0,0.0003,0.01095,2.164832226,0.060359971,0.960083643,0.287228132,1,1,1,1,1,
412,88775,3.4,-2.03,10.48,0.01,-0.08,-0.6,33.37,0.01045,0.01,0.001,0.00055,0.00075,0.0043,0.318164302,0.443098941,1.403182584,0.605392435,1,1,1,1,1,
413,88979,0.77,-0.36,10.82,-0.24,-0.26,-2.25,33.37,0.01315,0.00835,0.0017,0.00125,0.0009,0.00825,1.672259865,0.349846691,1.053335893,2.2776523,1,1,1,1,1,
414,89183,-2.24,2.73,11.14,-0.15,-0.14,-0.73,33.35,0.01505,0.01545,0.0016,0.00045,0.0006,0.0076,1.519364756,0.832985171,1.886321064,0.758287544,1,1,1,1,1,
415,89387,0.1,1.56,10.79,-0.16,0.13,-0.62,33.35,0.0117,0.00585,0.00175,0.00005,0.00135,0.00055,0.104911695,0.783674596,1.102646468,0.653375849,1,1,1,1,1,
416,89591,-0.6,0.41,10.76,-0.07,0.15,1.33,33.36,0.0035,0.00575,0.00015,0.00045,0.0001,0.00975,0.68688532,0.118134425,0.984512043,1.340261169,1,1,1,1,1,
417,89795,0.83,-1.12,10.84,-0.03,0.08,2.94,33.36,0.00715,0.00765,0.0004,0.0002,0.00035,0.00805,1.600980066,0.144756002,1.129268045,2.941241235,1,1,1,1,1,
418,89999,1.65,0.09,10.84,-0.04,0.04,0.42,33.36,0.0041,0.00605,0,0.00005,0.0002,0.0126,2.517448833,0.035958811,1.165226856,0.423792402,1,1,1,1,1,
419,90203,3.12,-1.77,10.47,-0.04,-0.11,-1.18,33.36,0.00735,0.0093,0.00185,0,0.00075,0.008,0.761998473,0.102211872,1.267438728,1.185790875,1,1,1,1,1,
420,90407,0.57,-0.57,11.17,-0.22,-0.29,-2.63,33.36,0.01275,0.006,0.0035,0.0009,0.0009,0.00725,1.469279745,0.131610339,1.399049067,2.655070621,1,1,1,1,1,
421,90611,-3.21,1.77,11.04,-0.25,-0.2,-2.65,33.36,0.0189,0.0117,0.00065,0.00015,0.00045,0.0001,0.014198942,0.433603253,1.83265232,2.669269563,1,1,1,1,1,
422,90815,0.59,0.83,10.62,-0.16,0.08,-0.83,33.36,0.019,0.0047,0.0021,0.00045,0.0014,0.0091,1.820211261,0.963941058,0.868711262,0.849058302,1,1,1,1,1,
423,91019,-0.11,1.62,10.75,-0.12,-0.01,0.01,33.35,0.0035,0.00395,0.00065,0.0002,0.00045,0.0042,0.728227842,0.203225088,1.07193635,0.12083046,1,1,1,1,1,
424,91223,0.11,0.23,10.94,-0.05,0.08,1.97,33.35,0.0011,0.00695,0.00095,0.00035,0.00045,0.0098,1.85142713,0.071033996,1.142970346,1.97225759,1,1,1,1,1,
425,91427,0.28,-0.67,10.85,-0.05,0.15,2.75,33.35,0.00085,0.0045,0.00045,0,0.00035,0.0039,0.782284115,0.068697957,1.074272389,2.754541704,1,1,1,1,1,
426,91631,3.23,-1.72,10.6,-0.02,0.07,2.63,33.35,0.01475,0.00525,0.00125,0.00015,0.0004,0.0006,0.123534293,0.339616321,1.41388871,2.631007412,1,1,1,1,1,
427,91835,3.06,-1.6,10.6,0,-0.07,0.47,33.35,0.00085,0.0006,0,0.0001,0.0007,0.0108,2.155823237,0.065633241,1.348255469,0.475184175,1,1,1,1,1,
428,92039,-0.03,2.06,10.88,-0.33,-0.14,-2.32,33.36,0.01545,0.0183,0.0014,0.00165,0.00035,0.01395,1.872346443,0.074913607,1.273341862,2.347530617,1,1,1,1,1,
429,92243,-0.04,1.31,10.69,-0.24,0.36,-1.69,33.36,0.00005,0.00375,0.00095,0.00045,0.0025,0.00315,0.603024957,0.30330008,0.970041783,1.744505661,1,1,1,1,1,
430,92447,-1.49,0.6,11,-0.13,-0.24,2.24,33.35,0.00725,0.00355,0.00155,0.00055,0.003,0.01965,0.51206253,0.346616888,1.316658671,2.256568191,1,1,1,1,1,
431,92651,3.84,-1.07,10.75,0,0.26,1.2,33.35,0.02665,0.00835,0.00125,0.00065,0.0025,0.0052,1.028724553,0.34863679,1.665295461,1.227843638,1,1,1,1,1,
432,92855,3.97,-0.35,10.54,-0.27,-0.31,-1.75,33.36,0.00065,0.0036,0.00105,0.00135,0.00285,0.01475,0.5697937,0.196977041,1.468318419,1.797637338,1,1,1,1,1,
433,93059,-1.64,-2.4,10.95,-0.67,-0.01,-4.64,33.36,0.02805,0.01025,0.00205,0.002,0.0015,0.01445,2.890496619,0.060940162,1.529258581,4.688133957,1,1,1,1,1,
434,93263,-1.66,-1.78,10.65,-0.05,-0.07,1.37,33.35,0.0001,0.0031,0.0015,0.0031,0.0003,0.03005,3.315435884,0.404676209,1.124582372,1.372698073,1,1,1,1,1,
435,93467,3.07,0.03,10.69,0,0.07,0.1,33.36,0.02365,0.00905,0.0002,0.00025,0.0007,0.00635,1.250632517,0.197553214,1.322135586,0.122065556,1,1,1,1,1,
436,93671,1.39,-0.31,10.68,-0.09,0,-0.01,33.35,0.0084,0.0017,5E-05,0.00045,0.00035,0.00055,0.031511705,0.347600794,0.974534793,0.090553851,1,1,1,1,1,
437,93875,1.38,-0.31,10.65,-0.1,0,-0.01,33.37,0.00005,0,0.00015,0.00005,0,0,0.009944905,0.031025124,0.943509669,0.100498756,0,0,1,1,1,
438,94079,1.41,-0.3,10.56,-0.1,-0.03,-0.01,33.36,0.00015,0.00005,0.00045,0,0.00015,0,0.004382129,0.085568967,0.857940702,0.104880885,1,0,1,1,1,
439,94283,3.75,-0.14,10.45,-0.25,-0.16,-1.24,33.37,0.0117,0.0008,0.00055,0.00075,0.00065,0.00615,1.170148527,0.44541915,1.303359852,1.275029411,1,1,1,1,1,
440,94487,1.03,-1.09,11.1,-0.12,0.07,-0.97,33.36,0.0136,0.00475,0.00325,0.00065,0.00115,0.00135,0.295131458,0.09748833,1.400848182,0.979897954,1,1,1,1,1,
441,94691,0.99,-4.51,10.4,-0.49,-0.2,-3.66,33.36,0.0002,0.0171,0.0035,0.00185,0.00135,0.01345,2.718169109,0.178088499,1.578936681,3.698067063,1,1,1,1,1,
442,94895,-2.5,1.31,9.71,-0.4,-0.01,-1.38,33.35,0.01745,0.0291,0.00345,0.00045,0.00095,0.0114,2.261230259,1.267052584,0.311884097,1.436836804,1,1,1,1,1,
443,95099,3.89,4.32,10.54,-0.11,0.06,0.02,33.36,0.03195,0.01505,0.00415,0.00145,0.00035,0.007,1.309951028,1.924980112,2.23686421,0.126885775,1,1,1,1,1,
444,303,2.69,1.45,10.77,0.24,0.08,0.88,33.36,0.006,0.01435,0.00115,0.00175,0.0001,0.0043,0.788756076,0.841709007,1.395155202,0.915641851,1,1,1,1,1,
445,95507,1.92,-3.76,10.79,0.01,0.07,0.25,33.36,0.00385,0.02605,1E-04,0.00115,0.00005,0.00315,0.65583423,0.391393033,1.786548235,0.259807621,1,1,1,1,1,
446,95711,1.41,-3.02,10.49,-0.42,0.32,-1.77,33.36,0.00255,0.0037,0.0015,0.00215,0.00125,0.0101,1.587271154,0.579795762,1.206752473,1.847078775,1,1,1,1,1,
447,95915,-0.96,-0.17,11.57,-0.37,-0.06,-1.11,33.37,0.01185,0.01425,0.0054,0.00025,0.0019,0.0033,0.675498645,0.604250929,1.811003402,1.17158013,1,1,1,1,1,
448,96119,-0.57,2.43,10.8,0.08,-0.14,0.65,33.37,0.00195,0.013,0.00385,0.00225,0.0004,0.0088,0.501878704,0.526338319,1.284665083,0.669701426,1,1,1,1,1,
449,96323,0.48,3.15,10.57,0,0.07,-0.21,33.37,0.00525,0.0036,0.00115,0.0004,0.00105,0.0043,0.44834199,0.044837186,1.239827897,0.221359436,1,1,1,1,1,
450,96527,4.81,-0.52,10.5,-0.03,0,-0.2,33.37,0.02165,0.01835,0.00035,0.00015,0.00035,5E-05,0.019121952,0.521162545,1.760990442,0.202237484,1,1,1,1,1,
451,96731,3.69,-2.16,10.36,-0.19,-0.06,-0.58,33.37,0.0056,0.0082,0.0007,0.0008,0.0003,0.0019,0.41103244,0.35334573,1.407644712,0.613269924,1,1,1,1,1,
452,96935,0.25,-3.25,11.1,-0.33,-0.01,-0.83,33.37,0.0172,0.00545,0.0037,0.0007,0.00025,0.00125,0.27998256,0.361063081,1.768707793,0.893252484,1,1,1,1,1,
453,97139,-1.41,2.83,10.69,0.02,-0.01,1.23,33.37,0.0083,0.0304,0.00205,0.00175,0,0.0103,0.336950751,0.42092326,1.347784533,1.230203235,1,1,1,1,1,
454,97343,1.25,1.73,10.8,-0.12,0.16,-0.46,33.36,0.0133,0.0055,0.00055,0.0007,0.00085,0.00845,0.728605787,0.138906298,1.208878235,0.501597448,1,1,1,1,1,
455,97547,4.29,1.64,10.45,0.06,0,0.77,33.36,0.0152,0.00045,0.00175,0.0009,0.0008,0.00615,0.270736676,0.405857854,1.61473609,0.772334125,1,1,1,1,1,
456,97751,4.24,-0.65,10.56,-0.07,-0.13,-0.35,33.37,0.00025,0.01145,0.00055,0.00065,0.00065,0.0056,0.392465726,0.016766972,1.597969117,0.379868398,1,1,1,1,1,
457,97955,3.39,-2.77,9.84,-0.56,0.24,-1.32,33.35,0.00425,0.0106,0.0036,0.00245,0.00185,0.00485,1.073954149,0.628075896,0.969893221,1.453822548,1,1,1,1,1,
458,98159,-2.18,-2.17,11.26,-0.3,-0.2,-0.59,33.37,0.02785,0.003,0.0071,0.0013,0.0022,0.00365,0.762374791,0.90267719,1.872570411,0.691447757,1,1,1,1,1,
459,98363,-2.05,0,11.1,0.42,-0.15,1.72,33.35,0.00065,0.01085,0.0008,0.0036,0.00025,0.01155,1.08543153,0.38485585,1.487714561,1.776879287,1,1,1,1,1,
460,98567,3.16,3.45,10.43,0.03,0.08,1.87,33.36,0.02605,0.01725,0.00335,0.00195,0.00115,0.00075,0.095071567,0.143514595,1.631229155,1.871950854,1,1,1,1,1,
461,98771,4.54,2.02,10.76,0.11,-0.03,0.02,33.37,0.0069,0.00715,0.00165,0.0004,0.00055,0.00925,1.756192485,0.42075802,2.051987175,0.115758369,1,1,1,1,1,
462,98975,3.32,-2.01,10.37,-0.29,-0.11,-1.6,33.36,0.0061,0.02015,0.00195,0.002,0.0004,0.0081,1.514026893,0.779525841,1.272461334,1.629785262,1,1,1,1,1,
463,99179,1.03,-3.64,10.75,-0.4,0.17,-1.32,33.37,0.01145,0.00815,0.0019,0.00055,0.0014,0.0014,0.240073062,0.323722237,1.596183572,1.3897122,1,1,1,1,1,
464,99383,-1.52,-1.13,11.07,-0.19,-0.22,0.24,33.37,0.01275,0.01255,0.0016,0.00105,0.00195,0.0078,1.012750664,0.165324299,1.430859273,0.376961536,1,1,1,1,1,
465,99587,-1.04,1.11,10.71,0.27,-0.22,1.16,33.37,0.0024,0.0112,0.0018,0.0023,0,0.0046,0.834194936,0.413382672,1.0174766,1.211156472,1,1,1,1,1,
466,99791,1.04,3.76,10.67,0.19,-0.1,0.99,33.38,0.0104,0.01325,0.0002,0.0004,0.0006,0.00085,0.198141171,0.543337631,1.560814231,1.013015301,1,1,1,1,1,
467,99995,4.66,0.13,10.5,-0.01,0.08,0.09,33.39,0.0181,0.01815,0.00085,0.001,0.0009,0.0045,0.892184841,0.127549447,1.688363678,0.12083046,1,1,1,1,1,
468,100199,3.44,-2.61,10.52,-0.4,0.29,-1.13,33.37,0.0061,0.0137,1E-04,0.00195,0.00105,0.0061,1.112457828,0.116639974,1.571723704,1.233288287,1,1,1,1,1,
469,100403,-0.68,-2.83,11.4,-0.41,-0.04,-1.05,33.37,0.0206,0.0011,0.0044,5E-05,0.00165,0.0004,0.105369851,0.393959447,1.965683151,1.127918437,1,1,1,1,1,
