Diff_Accel_X,Diff_Accel_Y,Diff_Accel_Z,Magnitude_Accel,Magnitude_Gyro,Diff_Mag_Gyro,Diff_Mag_Accel,Is_High_Accel,Is_High_Accel_2,Is_High_Accel_3
,,,0.800915055,3.076897788,,,0,0,0
0.01665,0.00455,0.0012,0.980315394,0.100498756,2.976399032,0.179400339,1,1,1
0.00125,0.0005,5e-05,1.010041628,0.126885775,0.026387019,0.029726234,1,1,1
0.00785,0.003,0.00025,0.919720146,1.957447317,1.830561542,0.090321482,1,0,1
0.0175,0.00305,0.00175,1.894793713,0.304302481,1.653144836,0.975073568,1,1,1
0.00395,0.00085,0.00145,1.911537047,1.997848843,1.693546362,0.016743333,1,1,0
0.04365,0.0027,0.00245,2.151020877,0.491731634,1.506117209,0.23948383,1,1,1
0.0158,0.00985,0.00125,1.317126427,0.864233765,0.372502131,0.83389445,1,1,1
0.0405,0.00185,0.00255,3.042137673,1.568534348,0.704300583,1.725011245,1,1,1
0.00775,0.00265,0.0003,2.118871591,0.599166087,0.969368261,0.923266082,1,1,1
0.04175,0.01955,0.0041,2.034665183,0.381837662,0.217328425,0.084206408,1,1,1
0.0111,0.0121,0.0019,1.061790828,1.076057619,0.694219957,0.972874355,1,1,1
0.02045,0.01255,0.00115,1.660322858,0.698784659,0.37727296,0.598532029,1,1,1
0.00455,0.0001,0.0007,1.535629669,1.760056817,1.061272158,0.124693188,1,1,1
0.01855,0.0266,0.004,0.64805245,0.402119385,1.357937432,0.887577219,1,0,1
0.00865,0.01405,0.00435,1.055399578,0.784219357,0.382099972,0.407347128,1,1,1
0.0122,0.01105,0.00095,1.84246108,0.320624391,0.463594966,0.787061502,1,1,1
0.0038,0.0003,0.00175,1.312596456,0.771556868,0.450932477,0.529864624,1,1,1
0.0173,0.0276,0.00045,1.579969244,0.745519953,0.026036915,0.267372788,1,1,1
0.00455,0.00835,0.00115,0.89756047,0.326190129,0.419329824,0.682408775,1,0,1
0.01565,0.01885,0.00075,1.447884245,0.832406151,0.506216022,0.550323776,1,1,1
0.0045,0.00595,0.0018,1.647410187,0.153948043,0.678458108,0.199525942,1,1,1
0.00605,0.00845,0.00125,1.190263873,0.225166605,0.071218562,0.457146314,1,1,1
0.0091,0.0146,0.00025,0.963261587,0.13,0.095166605,0.227002286,1,1,1
0.00065,0.0004,0.00045,1.052050497,0.100498756,0.029501244,0.08878891,1,1,1
0.0102,0.01665,0.0,1.485340048,0.137477271,0.036978515,0.433289551,1,1,1
0.0003,0.0021,0.0,1.439310477,0.574369219,0.436891948,0.046029571,1,1,1
0.0204,0.02275,0.0019,1.028527139,0.49010203,0.084267189,0.410783338,1,1,1
0.0053,0.01575,0.00325,1.180327864,0.560446251,0.070344221,0.151800725,1,1,1
0.01935,0.0135,0.0036,1.528287602,1.144290173,0.583843922,0.347959738,1,1,1
0.01815,0.01055,0.00135,0.754307178,2.165617695,1.021327522,0.773980425,1,0,1
0.00915,0.02425,0.00185,1.98095497,0.146287388,2.019330306,1.226647792,1,1,1
0.0224,0.03755,0.00025,1.92096839,2.295103484,2.148816095,0.05998658,1,1,1
0.0063,0.0018,0.00295,1.67580934,0.30757113,1.987532354,0.24515905,1,1,1
0.014,0.0202,0.00215,1.037541234,1.657648938,1.350077808,0.638268106,1,1,1
0.01825,0.00925,0.00145,1.785404611,0.127279221,1.530369717,0.747863377,1,1,1
0.0433,0.03105,0.00305,2.827200798,2.10299786,1.97571864,1.041796187,1,1,1
0.012,0.00295,0.0003,1.694681379,0.270185122,1.832812738,1.132519419,1,1,1
0.01565,0.01715,0.00055,0.585422476,1.859408508,1.589223386,1.109258903,1,0,1
0.01975,0.0123,0.00375,2.125292449,0.078740079,1.780668429,1.539869973,1,1,1
0.0495,0.0347,0.0033,3.202561286,2.347147205,2.268407126,1.077268837,1,1,1
0.0093,0.00055,0.0003,2.413390193,0.865216736,1.481930469,0.789171093,1,1,1
0.0308,0.0256,0.00225,1.257902152,1.66003012,0.794813384,1.155488041,1,1,1
0.004,0.01095,0.0,1.827884588,0.06164414,1.59838598,0.569982436,1,1,1
0.0308,0.03745,0.0002,2.599774191,2.487890673,2.426246533,0.771889603,1,1,1
0.0066,0.00445,0.00285,2.365483961,0.39736633,2.090524343,0.234290231,1,1,1
0.03335,0.02095,0.00415,1.530529555,2.365692288,1.968325958,0.834954406,1,1,1
0.012,0.0084,0.00115,2.502641993,0.484252001,1.881440287,0.972112438,1,1,1
0.0524,0.03195,0.0064,3.025735846,2.636835224,2.152583224,0.523093854,1,1,1
0.01035,0.00015,0.0006,2.133737889,0.378681925,2.2581533,0.891997957,1,1,1
0.03065,0.02475,0.0004,0.734225173,2.044382547,1.665700623,1.399512716,1,0,1
0.00905,0.0047,0.0034,1.898948671,0.311769145,1.732613402,1.164723497,1,1,1
0.0493,0.0274,0.00305,3.04504963,2.238950647,1.927181502,1.146100959,1,1,1
0.0116,0.00395,0.0001,1.782158693,0.870976464,1.367974184,1.262890937,1,1,1
0.0276,0.01245,0.0031,1.292921166,3.01088027,2.139903806,0.489237527,1,1,1
0.00885,0.0088,0.0012,1.977512471,0.262488095,2.748392175,0.684591305,1,1,1
0.03175,0.023,0.0033,1.719865451,2.738430207,2.475942112,0.25764702,1,1,1
0.00345,0.00105,0.0019,1.556377063,0.201494417,2.53693579,0.163488387,1,1,1
0.00665,0.0074,0.0035,0.217864044,2.657686964,2.456192547,1.338513019,1,0,1
0.02595,0.01585,0.00805,1.780997366,0.151657509,2.506029455,1.563133323,1,1,1
0.01805,0.01495,0.00435,0.598403724,2.086528217,1.934870708,1.182593643,1,0,1
0.01405,0.0064,0.0006,1.585978219,0.923309266,1.163218951,0.987574495,1,1,1
0.00745,0.0055,0.00155,0.675423619,2.522419473,1.599110208,0.9105546,1,0,1
0.0266,0.0155,0.00475,1.748177345,0.369052842,2.153366632,1.072753726,1,1,1
0.02185,0.018,0.00435,0.623425541,2.276730111,1.90767727,1.124751805,1,0,1
0.01595,0.00705,0.0004,1.783341487,0.728697468,1.548032643,1.159915946,1,1,1
0.0122,0.0086,0.0018,0.301772122,2.507169719,1.778472251,1.481569365,1,0,1
0.0251,0.0181,0.00605,1.692193002,0.207123152,2.300046567,1.39042088,1,1,1
0.01225,0.01535,0.00245,0.676153874,2.081273649,1.874150497,1.016039128,1,0,1
0.0267,0.00685,0.00015,2.018350139,0.996092365,1.085181283,1.342196264,1,1,1
0.01005,0.0081,0.00115,0.879072993,2.600269217,1.604176852,1.139277145,1,0,1
0.027,0.01045,0.00415,1.56144357,0.279463772,2.320805445,0.682370577,1,1,1
0.01065,0.0185,0.00065,1.287407271,0.92784697,0.648383198,0.274036299,1,1,1
0.0048,0.00085,0.0013,1.033628201,0.972522493,0.044675523,0.25377907,1,1,1
0.01575,0.0026,0.00045,1.558859978,0.33763886,0.634883633,0.525231777,1,1,1
0.00645,0.0162,0.0001,1.219845734,0.511077294,0.173438433,0.339014244,1,1,1
0.0004,0.00075,0.00055,1.070832535,0.661135387,0.150058093,0.149013199,1,1,1
0.01855,0.0053,0.0028,1.241598616,0.224722051,0.436413337,0.170766081,1,1,1
0.00815,0.0108,0.00045,1.199422712,0.364417343,0.139695293,0.042175904,1,1,1
0.0062,0.0024,0.0021,0.998874941,1.290193784,0.925776441,0.200547771,1,1,1
0.01055,0.00535,0.00015,1.374068194,0.213541565,1.076652219,0.375193252,1,1,1
0.00965,0.01485,0.0001,1.027973033,0.736070649,0.522529084,0.346095161,1,1,1
0.00525,0.00435,0.0001,1.159479915,0.10198039,0.634090259,0.131506882,1,1,1
