Diff_Accel_X,Diff_Accel_Y,Diff_Accel_Z,Magnitude_Accel,Magnitude_Gyro,Diff_Mag_Gyro,Diff_Mag_Accel,Is_High_Accel,Is_High_Accel_2,Is_High_Accel_3
0.0025,0.00125,0.0001,1.020304986,0.240416306,0.139917549,0.056769322,1,1,1
0.0079,0.01075,0.00435,2.32781926,2.987390165,2.74697386,1.307514273,1,1,1
0.0049,0.0158,0.01925,0.262092228,2.701869723,0.285520442,2.065727032,1,0,1
0.01085,0.0182,0.0178,-0.112699034,2.079062289,0.622807434,0.374791262,1,0,1
0.0105,0.00185,0.01515,-0.862002461,1.848810428,0.23025186,0.749303427,1,0,1
0.00335,0.0036,0.0083,-0.172367892,1.30418557,0.544624859,0.689634569,1,0,1
0.01945,0.00725,0.01375,-0.765720837,0.816455755,0.487729815,0.593352944,1,0,1
0.00855,0.00495,0.0094,-0.535843266,0.353553391,0.462902364,0.229877571,1,0,1
0.0054,0.00325,0.0041,0.055805396,0.112249722,0.241303669,0.591648661,1,0,1
0.0004,0.00025,0.0018,0.067431277,0.15132746,0.039077738,0.011625881,1,0,0
0.0013,0.0,0.0012,0.082479446,0.150665192,0.000662268,0.015048169,1,0,0
0.00165,0.0003,0.00175,0.002601695,0.330756708,0.180091516,0.079877751,1,0,1
0.0016,0.0,0.00795,0.015024198,0.0678233,0.262933408,0.012422502,1,0,0
0.0003,0.00035,0.00175,0.057327224,0.525071424,0.457248124,0.042303026,1,0,1
0.00275,0.00155,0.01665,0.726889379,0.835523788,0.310452364,0.669562155,1,0,1
0.0063,0.00375,0.0027,-0.112250003,0.3548239,0.480699888,0.839139382,1,0,1
0.00505,0.00345,0.00275,0.428225653,0.43611925,0.08129535,0.540475656,1,0,1
0.0002,0.00115,0.00065,0.18165317,0.206155281,0.229963968,0.246572483,1,0,1
0.00105,0.0004,0.0017,0.157354066,0.152643375,0.053511906,0.024299103,1,0,1
0.00155,0.00025,0.0056,-0.037935669,0.350713558,0.198070183,0.195289735,1,0,1
0.00145,0.00055,0.00315,0.13637761,0.111803399,0.238910159,0.174313279,1,0,1
0.0001,0.0002,0.00285,0.11332941,0.10198039,0.009823009,0.023048199,1,0,1
0.00075,0.0004,0.0013,0.015834147,0.266458252,0.164477862,0.097495264,1,0,1
0.00025,0.00065,0.00285,0.193943166,0.136014705,0.130443547,0.178109019,1,0,1
0.0004,0.00075,0.00125,0.075672129,0.202731349,0.066716644,0.118271037,1,0,1
0.0023,0.0008,0.0039,0.071033381,1.096631205,0.893899856,0.004638748,1,0,0
0.0077,0.00085,0.0052,0.225916417,0.450222167,0.646409038,0.154883036,1,0,1
0.0043,0.0029,0.0047,0.480515551,0.180277564,0.269944604,0.254599134,1,0,1
0.00195,0.0014,0.00135,0.273023379,0.212367606,0.032090042,0.207492172,1,0,1
0.0009,0.0003,0.00085,0.179313604,0.107703296,0.10466431,0.093709776,1,0,1
0.0006,0.0001,0.0004,0.184723331,0.092736185,0.014967111,0.005409728,1,0,0
0.00015,5e-05,0.0004,0.173710443,0.081240384,0.011495801,0.011012888,1,0,0
5e-05,0.00015,0.00015,0.196329326,0.100498756,0.019258372,0.022618883,0,0,1
0.0003,0.0001,0.0004,0.231719693,0.1,0.000498756,0.035390367,1,0,1
0.00055,0.0001,0.0,0.217869035,0.09,0.01,0.013850658,1,0,0
0.0001,5e-05,0.00015,0.202164766,0.100498756,0.010498756,0.015704269,0,0,0
0.0001,0.0,0.0001,0.208101718,0.100995049,0.000496293,0.005936952,0,0,0
0.00015,0.0,0.0003,0.195789113,0.080622577,0.020372472,0.012312605,1,0,0
5e-05,0.0,5e-05,0.197499687,0.120415946,0.039793368,0.001710574,0,0,0
0.0,0.0,0.00065,0.228723747,0.1,0.020415946,0.03122406,1,0,1
0.00025,5e-05,0.0002,0.225662073,0.12083046,0.02083046,0.003061674,0,0,0
0.0002,5e-05,5e-05,0.211358549,0.098488578,0.022341882,0.014303524,0,0,0
0.0,0.0,0.00035,0.228509361,0.091104336,0.007384242,0.017150812,1,0,0
0.0002,5e-05,0.00025,0.228090546,0.11045361,0.019349274,0.000418815,0,0,0
5e-05,0.0,0.0,0.227527113,0.1,0.01045361,0.000563433,0,0,0
0.00015,0.0001,0.0,0.209885114,0.090553851,0.009446149,0.017641999,0,0,0
0.0001,0.0001,0.0,0.228090546,0.100498756,0.009944905,0.018205432,0,0,0
0.0001,5e-05,5e-05,0.217135319,0.100498756,0.0,0.010955227,0,0,0
5e-05,0.0,5e-05,0.218981984,0.100498756,0.0,0.001846665,0,0,0
0.0002,5e-05,0.0,0.211698158,0.100498756,0.0,0.007283827,0,0,0
0.0001,0.0001,0.0,0.229840477,0.08,0.020498756,0.01814232,0,0,0
5e-05,5e-05,0.0,0.240124501,0.09,0.01,0.010284024,0,0,0
0.0002,0.0001,0.0001,0.21842802,0.100498756,0.010498756,0.021696481,0,0,0
0.00025,0.00015,0.0,0.24436658,0.080622577,0.019876179,0.02593856,0,0,1
0.0004,0.00015,0.0001,0.21560782,0.100498756,0.019876179,0.028758761,1,0,1
0.00015,0.0001,0.0001,0.193542915,0.100498756,0.0,0.022064904,0,0,0
0.00015,5e-05,0.00015,0.208326533,0.100498756,0.0,0.014783618,0,0,0
0.0,5e-05,5e-05,0.220419153,0.100498756,0.0,0.012092619,0,0,0
